O.K.	they gave us the O.K. to go ahead
parasitology	She received her PhD in molecular parasitology in 1998 from University College London, working at the affiliated National Institute for Medical Research with Will Jarra and Anthony Holder.
parasitology	In 1950, when Hawking's father became head of the division of parasitology at the National Institute for Medical Research, the family moved to St Albans, Hertfordshire.
parasitology	Hotez was awarded postdoctoral positions in molecular parasitology and pediatric infectious diseases at Yale University School of Medicine, where he subsequently became an assistant professor in 1992 and an associate professor in 1995.
parasitology	It gathers around 30 national societies of parasitology of European countries.
parasitology	The EFP offers, during the EMOP, Young Scientist Awards to stimulate the involvement of young scientists in the development of parasitology in Europe.
parasitology	The Veterinary Library also known as Samora Machel Veterinary Library offers more than 10,000 print and electronic resources on veterinary medicine, anatomy, physiology, pathology, microbiology, and parasitology as well as information on practice management, ethics, and animal welfare.
parasitology	Her research covers diverse topics in parasitology and virology, including the genetic diversity of flu strains.
parasitology	During his last year at the Radium Institute, Rossignol had met Raymond Cavier, then Professor of Parasitology at the School of Pharmacy of the University of Paris where he was heading the parasitology laboratory searching for new drugs for the treatment of malaria and intestinal parasites.
parasitology	In the meantime, the pharmaceutical giant, SmithKline &amp; French Laboratories in Philadelphia, Pennsylvania, aware of the work in parasitology carried out in the Cavier's laboratory in Paris, had put Rossignol in charge of developing the benzimidazole carbamate anthelminthic, albendazole, for the treatment of intestinal helminthiasis.
parasitology	Professor of Zoology at Tokyo Imperial University, he is considered the founder of parasitology in Japan and was the first President of the Ornithological Society of Japan.
parasitology	His main interests where in pathology and parasitology but he worked with his father as a physician in his early years followed by work at the pathology department at Almindelig.
parasitology	He trained at the Southeastern Agricultural College, Wye in 1910 and in July 1913, he went to study entomology as a Carnegie student at the laboratory of parasitology of the Bureau of Entomology of the United States Department of Agriculture at Melrose Highlands, Massachusetts, before moving to Nyasaland (Malawi) to succeed Edward Ballard as Government Entomologist.
parasitology	As parasitology became relevant to the war (as it did on the opposing front, where Willi Hennig was active in this area), he was asked to also teach parasitology and haematology.
parasitology	Simonyi's research interest were primarily with parasitology and virology of animals and she studied bovine viral diarrhea, canine infectious hepatitis, and swine fever.
parasitology	Pandey undertook advanced research on Fish parasitology and has authored or co-authored about 200 research papers.
parasitology	Rupert Montgomery Gordon (August 23, 1898 – July 26, 1961) was a British professor of parasitology and entomology at the Liverpool School of Tropical Medicine.
parasitology	He also belonged to the department of parasitology at the London School of Hygiene &amp; Tropical Medicine.
parasitology	Conservation parasitology, environmental parasitology and paleoparasitology rely on barcoding as a useful tool in disease investigating and management, too.
parasitology	Riley gained her bachelor's degree in cell biology and veterinary science from the University of Bristol, before reading for a postgraduate diploma in veterinary disease from Cornell University and studying her PhD in immunology and parasitology at the University of Liverpool.
parasitology	Following World War II, he returned to work at Yeerongpilly and under his direction as principal research officer and officer-in-charge of CSIRO's veterinary parasitology laboratory (1947-1966) the Yeerongpilly institute gained an international reputation for its studies of parasitic diseases in cattle.
parasitology	A few of his works on parasitology have been translated into English:
parasitology	Mayhew was initially hired as an instructor to teach parasitology and later various courses in vertebrate biology.
parasitology	Each year, the award celebrates the work of young scientists making strides in veterinary parasitology research.
parasitology	Miren Basaras Ibarzabal (born in Derio, Spain, 1968) is a microbiologist and professor of the Universidad del País Vasco (University of the Basque Country, or UPV/EHU) in the department of immunology, microbiology, and parasitology of the Faculty of Medicine and Nursing in Vizcaya.
parasitology	Roth received his Bachelor of Arts in biology from Pacific Union College in 1948, and his Master of Science in biology (1949) and Ph.D. in parasitology (1955) from the University of Michigan.
parasitology	The ICT Village of Mahobong, in Lesotho, experimented in 2007 the Digital Services Global Platform, both in the field of Food Security with applications of e-phytopathology and parasitology and of telemedicine, through a new ultrasound device, which allow remote ultrasounds suitable for prevent pre- and post-natal mortality and assist emergency interventions.
parasitology	She completed a PhD in medical parasitology and infection biology at the Swiss Tropical and Public Health Institute in 2006.
geomorphology	Observations of the natural world included those of wildlife, meteorology, hypotheses advancing early ideas in geomorphology and climate change based on findings of petrification and natural erosion, and strange recorded phenomena such as the description of an unidentified flying object.
geomorphology	"The municipality is within temperate and cold climatic zones, and has a geomorphology of moorland (""páramo bajo"")."
geomorphology	Florence Bascom published over 40 articles on genetic petrography, geomorphology (specifically the provenance of surficial deposits), and gravel.
geomorphology	The deposits of coal mine tailings on Pyramid State Recreation Area give the park an undulating appearance, very different from the natural geomorphology of most of Illinois.
geomorphology	His work examined the geomorphology of lakes, paleolakes, lake basins, and coasts; paleolimnology and geochronology of Quaternary lakes; geodynamics of Quaternary lakes; geoarchaeology; and desert, mountain, and Arctic environmental change.
geomorphology	"""I like climatology, I like geomorphology – how the earth is shaped by rivers."
geomorphology	Bernard Smith's first publications were on desert geomorphology and on the formation of desert dust and loess.
geomorphology	Present knowledge of the period geomorphology of the Wantsum Channel that created that haven is limited.
geomorphology	As a relatively new and unknown branch of GIS the topic of geomorphometrics has few 'famous' pioneer figures as is the case with other fields such as hydrology (Robert Horton) or geomorphology (G. K. Gilbert).
geomorphology	In the past geomorphometrics have been used in a wide range of studies (including some high-profile geomorphology papers by academics such as Evans, Leopold and Wolman) but it is only recently that GIS practitioners have begun to integrate it within their work.
geomorphology	In terms of geomorphology and seismicity, Tyre is close to the Roum Fault and the Yammouneh Fault.
geomorphology	"In colloquial usage, the term ""palimpsest"" is also used in architecture, archaeology and geomorphology to denote an object made or worked upon for one purpose and later reused for another; for example, a monumental brass the reverse blank side of which has been re-engraved."
geomorphology	Glacial striation and the presence of chalk and flint erratics that originated from the bed of the North Sea demonstrate the influence of ice action on the geomorphology of the islands.
geomorphology	The complex geomorphology includes incised valleys and lochs carved by the action of mountain streams and ice, and a topography of irregularly distributed mountains whose summits have similar heights above sea-level, but whose bases depend upon the amount of denudation to which the plateau has been subjected in various places.
geomorphology	Although he did not public many works in geomorphology and physical geology, he offered valuable suggestions.
geomorphology	His Ph.D. dissertation was a monograph on the geomorphology and former glaciation of South-Iranian high mountains.
geomorphology	"The geomorphology of the Atacama Desert has been characterized as a low-relief bench ""similar to a giant uplifted terrace"" by Armijo and co-workers."
geomorphology	It is graced by grandiorite geomorphology and sits on lay lines.
geomorphology	Since the island's capital was moved from Paphos to Nicosia after the Roman times, transportation to Paphos - being a very small town at the time - from the rest of the island was very difficult due to the mountainous geomorphology of the island's Southwestern coast.
geomorphology	Within the southern temperate zone, they determine a particular climate called Mediterranean climate with local differences due to the geomorphology of the territory, which tends to make its mitigating effects felt, especially in high pressure conditions.
geomorphology	"The same unique ecology and geomorphology has let to a number of designations of SSSIs along the strait including Glannau Porthaethwy, the ivy–oak–ash woodland on the southern shore (Coedydd Afon Menai) and Lavan Sands (Welsh: ""Traeth Lafan"")."
geomorphology	Strahler was largely responsible for the shift from qualitative to quantitative geomorphology during the mid 20th century.
geomorphology	This isolated island has been largely undisturbed by human activity apart from service as an artillery range in World War II, and it is of international importance because of the extensive research into its geomorphology over nearly a century.
geomorphology	Lajos de Loczy was the first western geologist to describe the structure, geomorphology and stratigraphy of mountain chains bordering the Tibetan Plateau that links the Kunlun Mountains with the north-south-oriented belt of mountains and gorges in central China.
geomorphology	Geotourism is distinguished to be focused on abiotic nature and built environments dealing with geology and geomorphology while ecotourism is focused on the living nature dealing with ecology and living things.
geomorphology	"Today, the geomorphology community uses the term ""abrasion"" in a looser way, often interchangeably with the term ""wear""."
geomorphology	During her academic career Rachel took a particular interest in glacial geomorphology and petrology.
geomorphology	The area features the diverse topography and geomorphology of a typical wetland swamp.
geomorphology	The geomorphology of contourite deposits is mainly influenced by the deepwater bottom-current velocity, sediment supply, and seafloor topography.
geomorphology	One justification for using neutral Latin or Greek descriptors was that it allowed features to be named and described before their geology or geomorphology could be determined.
geomorphology	After earning her doctorate in geomorphology in 1987, Merritts joined the geosciences faculty at Franklin &amp; Marshall College (F&amp;M).
geomorphology	The book deals with the history of British geomorphology before 1878.
geomorphology	"The biotic framework of the ""Tagus Basin"", due to its geology, geomorphology and climatology, presents a great variety of ecosystems that include different habitats and protected species; these ecosystems range from the high peaks of the mountain ranges of the Central System to the river valleys of the Upper Tagus or the alluvial plains of Toledo and Cáceres."
geomorphology	Ahmad wrote research papers on various aspects of geology, geography, and geomorphology of India, many of which were published in the journal that was published from Ranchi University and some in the journal of Aligarh Muslim University.
geomorphology	Although this work has also been criticized by Schwartz for not being rigorous, geologically, the fact remains that all work on Indian coastal geomorphology is subsequent to and follows this original and fundamental work.
geomorphology	Artifact density was assessed using GIS and statistical correlations, and it was determined that the stratification of larger artifacts remaining on the surface while smaller artifacts had been pushed below could be attributed to trees falling and disrupting the geomorphology of the site.
geomorphology	Monsoon intensification can also explain the recent increase in India-Eurasia convergence rate (&gt;5mm/yr) since 3.5 million years ago by causing increased erosion which shaped the geomorphology of the eastern Himalaya and decreased the elevation and crustal thickness which led to counter-clockwise rigid rotation of the Indian plate which is measured as an increase in plate motion and convergence rate.
geomorphology	It includes genetic, species and ecosystems biodiversity in a range of habitats spread over a range of ecologically varied regions, influenced by the geomorphology of the seabed and circulation of major and local water masses, which distribute both living organisms and nutrients in complex and time-variable patterns.
geomorphology	The particular geomorphology of Mount Pindo, full of reliefs in granite bowls, inspired many stories and legends of deities, carvings, or mythical monsters and giants, including some on the river Xallas, because the waterfall Ézaro fall by its waters directly on the salt water of the sea.
geomorphology	Marshall Wilkinson (Macquarie) also joined as visiting faculty in physical geography and geomorphology in 2006 and promoted to tenure-track in 2007 (he left the department in 2010).
geomorphology	Stoddart studied the geomorphology and ecology of tropical islands and reefs, beginning in Belize, then the Maldives, Seychelles, Solomon Islands, and various locations in the Pacific including the Great Barrier Reef, Aitutaki in the Cook Islands, and in the mid-1970s to the disputed Phoenix Islands.
geomorphology	The decline in interest and status of the discipline of climatic geomorphology was in part indebted to a 1969 publication of Stoddart.
geomorphology	"Stoddart criticized climatic geomorphology for applying supposedly ""trivial"" methodologies in establishing landform differences between morphoclimatic zones, being linked to Davisian geomorphology and by allegedly neglecting the fact that physical laws governing processes are the same across the globe."
geomorphology	David Mohrig is an American professor of geology and geomorphology whose works have been published in such journals as the Geological Society of America Bulletin, Journal of Hydraulic Engineering and many others.
geomorphology	She studied the geomorphology of rivers, active fault zones, plate tectonics, coastal geomorphology, geological hazards, and environmental geomorphology.
geomorphology	Arthur Newell Strahler was the advisor for her doctoral work on the quantitative geomorphology of Pennsylvania streams.
geomorphology	Marie Morisawa was part of the geomorphology revolution in the 1950s and 1960s.
geomorphology	Her research included looking at the geologic structure of the watershed basins in the Appalachian Plateau, and how other interactions affect the streamflow and geomorphology of the basins.
geomorphology	"Basil Gomez is an American professor of fluvial geomorphology whose works have been published in such journals as ""Earth Surface Processes and Landforms"", ""Water Resources Research"", ""the Journal of Geology"" and others."
geomorphology	He published 75 academic papers and books on glaciation, geomorphology in Europe, geomorphological hazards and a geographical study of Africa.
geomorphology	The geology and geomorphology of Robberg were well documented by John Rogers in 1966.
geomorphology	In climatic geomorphology morphoclimatic zones are areas which are characterised by landforms associated with a particular climate.
geomorphology	One reason for the very high level of endemism is that the geomorphology is diverse, resulting in habitat islands where distinct subspecies have evolved.
geomorphology	Examples of torrential river geomorphology can be seen at Conwy Falls and in the Lledr Gorge.
geomorphology	Research into geoscience features is an ongoing activity as new techniques of analysis and particularly for methods of mapping and displaying geomorphology and dating materials and landforming events become available.
geomorphology	Difficulties in accessibility and problems with the geomorphology of the area brought the planners to the conclusion that Ponta da Barca would be a more suitable alternative (although the interposition of Pico Negro did not permit some visibility from Ponta da Barca).
geomorphology	This genesis and geomorphology in Terra Chã resulted in two types of landscapes:
geomorphology	Much of the geomorphology and surficial deposits of New England are a result of glaciation in the Quaternary period.
geomorphology	"In geology and geomorphology a pediplain (from the Latin ""pes"", genitive case ""pedis"", meaning ""foot"") is an extensive plain formed by the coalescence of pediments."
geomorphology	On Mars, the near-surface wind is not only emitting dust but also modifying the geomorphology of Mars over long time scales.
geomorphology	Scientists have studied parameters of surface-water hydrology and geomorphology for years, but it was not until recently that the underground water system was understood.
geomorphology	Thomas Richard Owen (1918–1990) was a Welsh geologist with an encyclopaedic knowledge of the rocks of Wales, ranging from regional stratigraphy and tectonics to geomorphology and marine geology.
geomorphology	By this definition hydro-geomorphology is inseparable part of geomorphology moreover fluvial geomorphology, because water is one of the most important agents in forming and shaping of landforms.
geomorphology	Although these observations were opposed to one of primary principles of geomorphology at the time, Knopf implied that remnant landforms should still survive for an extended period due to unequal erosion.
geomorphology	The geomorphology of the region is defined by north-south trending normal faulting –tectonic activity typical of continental rifting.
geomorphology	From 2006 to date at different times he was a Part-time lecturer in geology and environmental geomorphology at the Sokoine University of Agriculture and the University of Dodoma.
geomorphology	Electromechanical disintegration is a process in geomorphology in which lightning interacts in erosion and weathering.
geomorphology	For example, process equifinality in geomorphology indicates that similar landforms might arise as a result of quite different sets of processes.
geomorphology	"""P. oceanica"" meadows play important roles in the maintenance of the geomorphology of Mediterranean coasts, which, among others, makes this seagrass a priority habitat of conservation."
geomorphology	Prevailing climatic conditions and the regions' geomorphology allowed the establishment of flourishing European style settlements like Nairobi, Vila Pery, Vila Junqueiro, Porto Amélia, Lourenço Marques and Entebbe.
geomorphology	Because of its geomorphology along with an inadequate drainage network, the city is highly vulnerable to flooding during periods of heavy rainfall.
geomorphology	Some geologists find it is controversial to share the term for biology and geomorphology applications.
geomorphology	Landscape ecology also includes geomorphology as applied to the design and architecture of landscapes.
geomorphology	Ica's configuration is due to the geomorphology of its two big and unique fluvial watersheds: the Pasco and Ica rivers.
geomorphology	Fluvial geomorphology is the study of the way rivers move through and affect their surrounding landscape.
geomorphology	For many centuries, the geomorphology of the terrain was responsible for the relative isolation of its populations.
geomorphology	Glacial activity strongly affects the geomorphology of the lower Stikine River.
geomorphology	Shen was also interested in geology, as he formulated a theory of geomorphology and climate change over time after making observations of strange natural phenomena.
geomorphology	By profession he was a geographer conducting studies in physical geography and geomorphology and working as a school teacher of geography as well as a university teacher.
geomorphology	Such glacier fluctuation and inventory data are high priority key variables in climate system monitoring; they form a basis for hydrological modelling with respect to possible effects of atmospheric warming, and provide fundamental information in glaciology, glacial geomorphology and quaternary geology.
geomorphology	Such glacier fluctuation and inventory data are high priority key variables in climate system monitoring; they form a basis for hydrological modelling with respect to possible effects of atmospheric warming, and provide fundamental information in glaciology, glacial geomorphology and quaternary geology.
geomorphology	During their fieldwork they study the relationships between geology and geomorphology by making maps, cross-sections and lithological columns.
geomorphology	She has a PhD in geomorphology from the University of Edinburgh, and has worked at various academic institutes including a two-year post-doctorate at the School of Earth Sciences at the University of Melbourne.
geomorphology	The actual geomorphology of the area is chiefly due to the perpetual deposit of debris and material by the Brembo River and its tributaries descending from the Prealps located few kilometers to the north.
geomorphology	Water significantly contributed to the geomorphology of the area, especially in the Bay of Bakar, a ria located between Rijeka and Kraljevica.
geomorphology	"This work was formative in his development of a regional planning model called the ""Valley Section"".This model illustrated the complex interactions among biogeography, geomorphology and human systems and attempted to demonstrate how ""natural occupations"" such as hunting, mining, or fishing are supported by physical geographies that in turn determine patterns of human settlement."
geomorphology	This included the geomorphology of the area between the now island of Elafonisos and the beaches of Pounta in Vigklafia.
geomorphology	It also displays coastal geomorphology which demonstrates a particularly well-developed series of intertidal shore platforms varying in width from about 200-600m.
geomorphology	This unique structural geomorphology make it a subject of scientific research.
geomorphology	Being a riverine habitat, its boundary and expanse keep on changing due to changing geomorphology of the Ganga river.
geomorphology	He also described the presence of glacier valleys and associated the geologic features of the region, comparing them with those seen in the geomorphology of the Alps.
geomorphology	"The unusual geomorphology of the Tsingy de Bemaraha World Heritage Site, which encompasses both the National Park and the adjacent Strict Nature Reserve, means that the Site is home to an exceptionally large number of endemic species of plants and animals that are found only within extremely small niches within the ""tsingys""."
geomorphology	Kalesnik's principal works are dedicated to theoretical topics of geoscience, landscape science and glaciology, as well as geomorphology of Central Tian Shan and Dzungarian Alatau.
geomorphology	The current geomorphology determines the form and structure of catchments, and these in turn are determined by the past drainage patterns and geology of the surface at the time, the changes in climate and sea level, and the variations in altitude and slope caused by tectonic movement over the longer time-frame.
geomorphology	Ironclad evidence of the impact hypothesis would have been removed during the ice ages, and unless more shock geomorphology is found the crater's origin cannot be certified beyond a reasonable doubt.
geomorphology	The delta's coastline has also undergone significant changes in geomorphology as a result of the reclamation of coastal dunes and lagoons to form new agricultural land and fish farms as well as the expansion of coastal urban areas.
geomorphology	Another Cascade Arc volcano with similar geomorphology is the Mount Meager massif in southwestern British Columbia, Canada, which is situated on a ridge of nonvolcanic, crystalline and metamorphic rock.
geomorphology	Glacial striation and the presence of chalk and flint erratics that originated from the bed of the North Sea demonstrate the influence of ice action on the geomorphology of the islands.
geomorphology	"During the early 1900s, the study of regional-scale geomorphology was termed ""physiography""."
geomorphology	"Land is closely linked to the geomorphology of a particular landscape"", regarding physiography as synonymous with geomorphology."
soil analysis	Support provided includes training programs and soil analysis that seeks to help farmers make the most of their land.
soil analysis	Soil test may refer to one or more of a wide variety of soil analysis conducted for one of several possible reasons.
soil analysis	From soil analysis it has been seen that one of the main compounds in the earth consumed by these primates is clay minerals that contains kaolinite which is commonly used in medications for diarrheal and intestinal problems.
soil analysis	Other environmental analysis techniques include biological surveys or biosurvey, soil analysis or soil test, vegetation surveys and tree identification, and remote sensing which uses satellite imagery to assess the environment on different spatial scales.
soil analysis	Situated 6 km from the ancient site of Assos, it was established in 2003 following a detailed soil analysis carried out at Ege University and U.C.Davis labs.
soil analysis	"A coastal acid sulfate soil analysis produced a result of ""extremely low"" along the north and north-east side of the island."
soil analysis	It is thought to be several hundred years old; soil analysis indicates that it was renewed at least once after its initial excavation, suggesting that it was in use over an extended period of time.
soil analysis	Forth, soil analysis indicates a high level of soil development at the western part of the examined section indicates, and the level of soil development gradually decreases towards the east.
soil analysis	Some of the research equipment available are: B.O.D., Photo calorimeter, Water and soil analysis kit and Muffle furnace
soil analysis	"One major source of savings came about when soil analysis found that the sand on the property had perfectly round grains—making it essentially identical to the ""USGA greens mix"", a special type of sandy soil that the United States Golf Association considers ideal for the needs of a golf green."
soil analysis	While vineyards do not leave direct archaeological remains, an independently conducted soil analysis found a plot of land in Jezreel properly suited for growing grapes, while the soils in the fields further west from the location were found to be the right quality for growing olives.
soil analysis	Sieving is a long-established but still widely used soil analysis technique.
soil analysis	The soil analysis carried out concerning the density, porosity, carbon and organic matter, pH, electrical conductivity and soluble salts.
soil analysis	The PTB release emphasized that while it could not necessarily rule out a German test conclusively, that soil analysis of that site revealed absolutely no evidence of it.
soil analysis	A system for estimating the prion-binding capacity of soil on farms using simple soil analysis may allow an estimate of the prion risk in the environment, and whether altering prion binding by the use of soil amendments may help to mitigate the infectious prions.
soil analysis	Pinuela has similar success with a soil analysis comparable to Pinar, Cuba.
soil analysis	Complete soil analysis to avoid contamination by other dominant fungi and very strict control of the formation of mycorrhizae are necessary to ensure the success of a plantation.
soil analysis	The soil section, which Glanville set up, was particularly useful to the war effort with soil analysis impacting aircraft and tank designs.
soil analysis	Instruments varied on different missions, but included cameras and atmospheric and soil analysis equipment.
soil analysis	Prushevsky orders the men to take soil samples, but, after they are returned to him, he sadly admits that he doesn’t know anything about soil analysis because no one ever taught him how to look at the inside of things.
soil analysis	"In December 2012, scientists working on the Mars Science Laboratory mission announced that an extensive soil analysis of Martian soil performed by ""Curiosity"" showed evidence of water molecules, sulphur and chlorine, as well as hints of organic compounds."
soil analysis	He went to Africa and spent seven years doing soil analysis to help farmers determine which crops to plant.
soil analysis	After the breakup of Yugoslavia the newly independent Croatia pressed on with the case and included the results of the soil analysis in its formal ownership claim to a New York court.
soil analysis	Electro-osmotic flow is commonly used in microfluidic devices, soil analysis and processing, and chemical analysis, all of which routinely involve systems with highly charged surfaces, often of oxides.
soil analysis	In 1880 he gave up his academic position, then working on soil analysis for the Japanese government.
soil analysis	One of the Wheatstone bridge's initial uses was for soil analysis and comparison.
soil analysis	Concerns about the tree's health date back to at least 1993, when a soil analysis revealed that leakage from a nearby underground domestic fuel tank was endangering the tree's root system.
soil analysis	The soil analysis revealed a high content of sand &amp; clay hindering the growth of agricultural crops.
soil analysis	If landscape reconstruction and preservation, in particular, is a goal of an archaeological research project, pollen and soil analysis can aide in landscape archaeology to accurately interpret and reconstruct landscapes of the past (Schoenwetter pg 278).
soil analysis	Soil resistivity measurements combined with soil analysis make it possible to measure moisture content.
soil analysis	Her research also covered soil analysis with the object of increasing the yield of latex, examination of distinctive fungi of the rubber plant, cellulose, paper-making, new processes for the production of artificial silk, and examination of possible plant paper-making materials.
soil analysis	It was reported that the tower was to be constructed in an unstable base but Walter Bau-AG said it conducted soil analysis and guaranteed that the soil was stable and added that it had enough experience, resource and technology for the tower's construction.
soil analysis	It would serve as a life science and soil analysis lab.
soil analysis	"In December 2012, scientists working on the Mars Science Laboratory mission announced that an extensive soil analysis of Martian soil performed by the ""Curiosity"" rover showed evidence of water molecules, sulphur and chlorine, as well as hints of organic compounds."
soil analysis	The recommendation was made after the completion of the first phase of the UAE Soil Mapping Project which was a 10-year project that included extensive and intensive soil analysis completed in collaboration with EAD and the UAE Ministry of Climate Change and Environment (Ministry of Environment and Water at the time).
soil analysis	James C. Baker of Virginia Tech conducted soil analysis that indicated that the formation of the site consisted of wind-blown sand deposits.
soil analysis	MOATA initially offered training in reactor control and neutron physics, later neutron activation analysis, neutron radiography, soil analysis and nuclear medicine research.
soil analysis	The archaeological soil analysis of the Turkish city of Sagalassos can be considered professor Waelkens' life work.
soil analysis	Scholar Sibylle Mazot states that soil analysis has demonstrated that the ribat's foundation is indeed older than 821 and dates back to the 8th century, so that the year 821 signifies the date of a reconstruction.
soil analysis	Georg Popp, of Frankfurt, Germany, may have been the first to use soil analysis for linking suspects to a crime scene.
laser physics	Chýlek has published over 100 first authored scientific papers in remote sensing, atmospheric radiation, climate change, cloud and aerosol physics, applied laser physics and ice core analysis.
laser physics	Nitschke studied physics at the University of Adelaide, gaining a PhD from Flinders University in laser physics in 1972.
laser physics	Photek were the first to commercialise Velocity Map Imaging (VMI) technology, offering VMI ion optics and related instrumentation for physical chemistry and laser physics research applications.
laser physics	From 1964, Börner's research focus increasingly shifted to laser physics and optical communications engineering.
laser physics	This is a list of acronyms and other initialisms used in laser physics and laser applications.
laser physics	New developments in laser physics formed the ground for collaborations between the team of Leroy and different other laboratories.
laser physics	Houde-Walter taught laser physics and optical engineering at the Institute of Optics, University of Rochester beginning in 1987.
laser physics	His PhD research was on laser physics and his supervisor was James A. Piper.
laser physics	In laser physics they are used either as intracavity or extracavity elements.
laser physics	"In laser physics however, the ""atomic ratio"" may refer to the doping ratio or the doping fraction."
laser physics	Chichkov started his scientific career in laser physics at the P.N.
laser physics	Chichkov's scientific interests include laser physics and laser applications, nonlinear optics, nano- and biophotonics, nanotechnology, biomedical implants and devices, biofabrication, tissue engineering, and regenerative medicine.
laser physics	She studied optoelectronics and laser physics at the University of Strathclyde, where she was taught by Carol Trager-Cowan.
laser physics	Wynne was Manager for nonlinear spectroscopy, laser physics and chemistry and biology and molecular physics at the IBM Thomas J. Watson Research Center.
laser physics	These drastic changes to the internal structure of these historical buildings allows the atomic and laser physics and the condensed matter physics sub-departments to be connected throughout the Lindemann, Townsend and Simon buildings.
laser physics	The envisioned expansion would add a third equatorial room with a large telescopes, four classrooms, a space science theater, and laser physics and computer-imaging laboratories.
laser physics	Alley initiated laser physics research at the Institute of Optics and the Physics Department of the University of Rochester, where he was an assistant professor of physics and optics from 1960 to 1963.
laser physics	Harmonic generation in dielectric solids is well understood and extensively used in modern laser physics (see second-harmonic generation).
laser physics	LULI trains French and foreign undergraduate and graduate students in plasma physics and laser physics and technology .
laser physics	"In laser physics and engineering, ""continuous wave"" or ""CW"" refers to a laser that produces a continuous output beam, sometimes referred to as ""free-running,"" as opposed to a q-switched, gain-switched or modelocked laser, which has a pulsed output beam."
laser physics	Laser science or laser physics is a branch of optics that describes the theory and practice of lasers.
laser physics	"The usage of the term ""solid-state"" in laser physics is narrower than in typical use."
laser physics	Paul Ewart is professor of physics and former head of the sub-department of atomic and laser physics within the Department of Physics, University of Oxford, and fellow and tutor in physics at Worcester College, Oxford, where he is now an emeritus fellow.
laser physics	Nathalie Picqué received a master's degree in laser physics from Paris-Sorbonne University (formerly known as Pierre and Marie Curie University) and Ecole Polytechnique, in Paris, France and completed a doctoral degree in physics from Paris-Saclay University (formerly known as Université Paris-Sud), in Orsay, France in 1998.
laser physics	The chair of the Department is Dr. Robert Giles, who specializes in experimental laser physics and optics.
laser physics	"In 2008 Milonni received the Max Born Award ""For exceptional contributions to the fields of theoretical optics, laser physics and quantum mechanics, and for dissemination of scientific knowledge through authorship of a series of outstanding books""."
laser physics	His research career has largely focused on the intersection of laser physics and quantum science.
laser physics	In 1963 he began work in laser physics but returned to Royal Holloway College as a reader one year later.
laser physics	He returned in 1973 to Imperial College London to a chair in laser physics, and headed a group in optical physics, laser physics and space optics.
laser physics	Popov) and early research involved theoretical analysis of resonant interaction of laser radiation with gaseous media, in particular i) Doppler-free multi-photon processes in strong optical fields and their applications in nonlinear optics spectroscopy and laser physics as well as ii) the (newly-discovered then) phenomenon of light-induced drift of gases.
laser physics	"In a widely cited 1982 paper, he introduced M. Lax's ""alpha parameter"" for the first time into semiconductor laser physics and used it to explain why the linewidth of a semiconductor laser is about 50 times greater than that predicted by the theory of Schawlow and Townes."
laser physics	Entrance windows or prisms with their surfaces at the Brewster angle are commonly used in optics and laser physics in particular.
laser physics	Fostiropoulos studied physics at the nearby Heidelberg University where he was, particularly, intrigued by the Grand Unified Theory, laser physics and molecular physics.
laser physics	David Colin Hanna FRS (born 1941) is a British physicist specializing in laser physics and nonlinear optics.
laser physics	He has also co-authored a textbook in laser physics in 2010, with Simon Hooker of Oxford.
laser physics	Its purpose is to unite the research activities of the FSU in the fields of high intensity laser physics and x-ray spectroscopy with the expertise of the Deutsches Elektronen-Synchrotron (DESY), GSI Helmholtzzentrum für Schwerionenforschung and Helmholtz-Zentrum Dresden-Rossendorf in the fields of accelerator physics, laser physics and x-ray technology.
laser physics	N. V. Cheburkin has trained several dozens of high-level specialists in the fields of laser physics and laser technologies.
laser physics	Tito Arecchi (11 December 1933 – 15 February 2021) was an Italian physicist who made significant contributions to laser physics and quantum optics.
laser physics	Otsuka's most notable contribution was in the area of stoichiometric solid-state lasers including the invention and laser physics of LiNdP4O12 (LNP) and related materials, laser-diode-pumped thin-slice as well as microchip solid-state lasers, nonlinear laser science, empirical studies of nonlinear dynamics in optical complex systems and self-mixing metrology with thin-slice solid-state lasers (namely, TS3Ls): Physics and applications of Nd Stoichiometric Lasers, the concept of Chaotic Itinerancy in universal complex systems and Self-Mixing TS3L Metrology with extreme optical sensitivity have been mostly cited in a variety of journals.
laser physics	"In 2008 he received the Max Born Award ""For exceptional contributions to the fields of theoretical optics, laser physics and quantum mechanics, and for dissemination of scientific knowledge through authorship of a series of outstanding books""."
laser physics	Mishik Airazatovich Kazaryan (; 28 February 1948 – 7 April 2020) was a Russian-Armenian physicist specialising in laser physics and optics, the winner of the State Prize of the USSR in the field of science and technology, foreign member of the Armenian National Academy of Sciences, member of the AM Prokhorov Academy of Engineering Sciences.
laser physics	Gulyaev and Yu.A.Trutnev developed many aspects of modern laser physics and its applications.
laser physics	Broadening in laser physics is a physical phenomenon that affects the spectroscopic line shape of the laser emission profile.
laser physics	Jonathan A. Jones (born 1967) is a professor in atomic and laser physics at the University of Oxford, and a fellow and tutor in physics at Brasenose College, Oxford.
laser physics	He joined the aerospace technology company TRW in 1972, and directed laser physics projects in Redondo Beach, California.
laser physics	Taylor was educated at Queen's University Belfast where he was awarded a Bachelor of Science degree in Physics in 1971 followed by a PhD in laser physics in 1974 for research supervised by Daniel Joseph Bradley.
